#### p(f|chinese)/p(f|english)
0.147516 -LRB-()
0.163826 -RRB-()
0.354652 S((()(()()()())))
0.379307 :()
0.388189 FRAG((())())
0.388189 NP((()())(()(()(()()))))
0.393636 NP((()())(()(()()()())))
0.409013 VP(()(()()()()))
0.415402 NP((()())(()(()()())))
0.440971 PP(()((()())(()(()()))))
0.446955 PP(()((()())(()(()()()))))
0.458285 VP(()((()(()(()(()))))))
0.463676 PP(()(()()()()))
0.476984 NP(()(()()())())
0.481224 VP(()(()(()((()())(()(()()))))))
0.486651 NP(()()()())
0.503582 PP(()((()(()))))
0.503582 VP(()(()((()(())))))
0.506982 NP(()()()()()())
0.507077 VP(()((())))
0.508696 VBG()
0.521004 NP((()()()()())(()(())))
0.521004 NP((()()())(()((()())(()(())))))
0.521004 NP((()()())(()(()(()()))))
0.521004 PP(()((()())()(()()())))
0.531742 NP((()()()())(()(())))
0.536415 VP(()(()(()()()())))
0.538777 NP((())(()(()()())))
0.538777 PP(()((())(()(()()))))
0.539493 NP(()()()()())
0.546401 NP((()()()())(()(()())))
0.546401 VP(()(()(()(()()()()))))
0.559274 ADVP(()(()(()()())))
0.559274 NP((()())(()((()())(()(()()())))))
0.559274 NP((()())(()((())(()))))
0.559274 PP(()((()()()())(()(()()))))
0.559274 PP(()((()()())(()(()()()))))
0.559274 S((()((()(())))))
0.559274 S((())(()((()(()(()()))))))
0.559274 S((())(()(()()()))())
0.559274 VP(()(()((()())(()(()()()())))))
0.559274 VP(()(()(()((()(()))))))
0.559274 VP(()(()(()((()()())(()(()()))))))
0.56812 NP((()())()(()()()))
0.56812 NP(()()((()(()))))
0.56812 NP(()()()()()()())
0.56812 PP(()((()())(()(()()()()))))
0.56812 S((()(())(()(()()))))
0.56812 VP(()(())(()(()(()()()))))
0.574259 PP(()(()()()()()()))
0.574259 VP(()()())
0.588994 PP(()((()()())(()(()()))))
0.603612 NP((()()())(()((()())(()(()())))))
0.603612 NP((()())(((())(()(())))))
0.603612 PP(()((()()()())(()(()))))
0.603612 PP(()((()())(()(()(()())))))
0.603612 S((()(()(()(()()()())))))
0.603612 S((()()))
0.603612 SBAR((())((()((()(()))))))
0.603612 SBAR((())((()(()(()(()()))))))
0.603612 VP(()((()())(()((()(()))))))
0.603612 VP(()((()())(()(()()()()))))
0.603612 VP(()(()((()(()(()(()()())))))))
0.603612 VP(()(()((()(()(()(()())))))))
0.603612 VP(()(()((())(()(()(()(()(()()))))))))
0.603612 VP(()(()(()(()())())))
0.603612 VP(()(()(()()))(()(()())))
0.603612 WHNP((()())(()(())))
0.604505 NP((()())(()((()(())))))
0.604505 VP(()((()(()(()(()()()))))))
0.60511 VP(()((()(()(()()())))))
0.605548 CONJP(()()())
0.62682 VP(()((()(()(()())))))
0.631536 PP(()((())(()(()()()))))
0.634923 S((())(()(()(()())))())
0.639464 NP((()())(()(()(()))))
0.639464 WHPP(()(()))
0.64587 ADJP(()(()(()()()())))
0.64587 NP((())(()(()(()))))
0.64587 PP(()((()(()()()()))))
0.64587 PP(()(()(()())()))
0.64587 S((()(()((()())(()(()()()))))))
0.64587 S((()(()(())(()()))))
0.64587 S((())(()(()((()(()))))))
0.64587 VP(()((()()()())(()(()()))))
0.64587 VP(()(()((()())())))
0.653466 VP(()(()((()())(()(()()())))))
0.655585 ADJP(()((()(()(()(()()))))))
0.655585 LST(())
0.655585 NP((()())(((())(()(()(()))))))
0.655585 NP((()())((())((()(()(()(()())))))))
0.655585 NP((()())((())((())(()(())))))
0.655585 NP((()())(()(()(()()()))))
0.655585 NP((())(()((())(()(())))))
0.655585 NP(()(()()()())())
0.655585 NX(())
0.655585 PP(()((()())((())((()(()(())))))))
0.655585 PRN(()(())())
0.655585 S(((()(()))()(()(()))))
0.655585 S((()(()((()())()))))
0.655585 S((()())(()((()(())))))
0.655585 S((()())(()(()()()())))
0.655585 S((())(()((()())(()(()))))())
0.655585 S((())(()(()((()())(()(()())))))())
0.655585 S(()(()))
0.655585 SBAR(((()(()(()())))))
0.655585 SBAR(()((())(()((()(()(()())))))))
0.655585 VP((())()(()((()())(()(()())))))
0.655585 VP((())()(()()()))
0.655585 VP(()(((()())(()(())))))
0.655585 VP(()((()())(()((())(()(()))))))
0.655585 VP(()((())()(()((()())(()(()()))))))
0.655585 VP(()(()(()))(()(()())))
0.655585 VP(()(()())(()((())(()(())))))
0.655585 VP(()(())(()((()))))
0.655585 VP(()(())(()()()()))
0.667294 NP((()()())(()(()()()())))
0.668555 CD()
0.671009 NP((()()())(()(()())))
0.677954 VP((())())
0.687446 NP((()())(()(()())))
0.693312 NP((()()())(((())(()))))
0.693312 NP((()()())(()((())(()(()())))))
0.693312 NP((())(()(()(()()))))
0.693312 S((()()())(()(()())))
0.693312 SBAR(()((())(()(()(()(()(()())))))))
0.703144 S((())(()(()(()(()(()()))))))
0.717352 ADJP(()((()(()((()())(()(())))))))
0.717352 ADVP((()()())())
0.717352 ADVP((())()(()()))
0.717352 LST(()())
0.717352 NP((()()()())()(()()))
0.717352 NP((()()())((())((()(())))))
0.717352 NP((()()())(()((()())(()(()()())))))
0.717352 NP((()()())()((()())(()(()))))
0.717352 NP((()())(()((()(()())))))
0.717352 NP((()())(()((()()())()(()()))))
0.717352 NP((()())(()(()()()()()())))
0.717352 NP((()())(()()(()()())))
0.717352 NP((()())()(()()()()))
0.717352 NP((())((())((()((()(())))))))
