#### p(f|chinese)/p(f|english)
0.345358 ((()())(()(()()()())))
0.354652 ((()(()()()())))
0.408346 ((()())(()(()()())))
0.417384 (()((()())(()(()()()()))))
0.419248 (()(()()()()))
0.457606 (()(()()())())
0.457879 ((()())(()((()(())))))
0.457879 (()((()()()())(()(()()))))
0.481224 (()(()(()((()())(()(()()))))))
0.497807 (()((()())(()(()()()))))
0.506982 (()()()()()())
0.507077 (()()((()(()))))
0.51662 (()()()())
0.516978 (()(()(()()()())))
0.521004 ((()()())(()((()())(()(())))))
0.521004 ((()())(()((())(()))))
0.521004 ((())(()((()(()(()()))))))
0.521004 (()(()((()())(()(()()()())))))
0.521121 ((()()()())(()(()())))
0.535865 (()((()())(()((()(()))))))
0.542017 ((())())
0.546401 (()(()(()(()()()()))))
0.546739 (()(()((()(())))))
0.559274 ((()((()(())))))
0.559274 ((()()())(()((()())(()(()())))))
0.559274 ((())(()(()()()))())
0.559274 (()((()()())(((())(())))))
0.559274 (()(()(()((()(()))))))
0.559274 (()(()(()((()()())(()(()()))))))
0.566714 (()()()()())
0.56812 ((()(())(()(()()))))
0.56812 ((()())()(()()()))
0.56812 (()((()(()(()(()()()))))))
0.56812 (()((()(()()()()))))
0.56812 (()((()())()(()()())))
0.56812 (()((())(()(()()()()))))
0.56812 (()()()()()()())
0.57877 (()(()(()())()))
0.603612 ((()(()(()(()()()())))))
0.603612 ((())((()((()(()))))))
0.603612 ((())((()(()(()(()()))))))
0.603612 ((())()(()(()())))
0.603612 (()((()(()((()())(()(()()())))))))
0.603612 (()((()(()((()())(()(()())))))))
0.603612 (()((())(()((()(()(()())))))))
0.603612 (()(()((()(()(()(()()())))))))
0.603612 (()(()((()(()(()(()())))))))
0.603612 (()(()((())(()(()(()(()(()()))))))))
0.603612 (()(()(()(()())())))
0.603612 (()(()(()()))(()(()())))
0.604505 ((()()()()())(()(())))
0.604505 ((())(()(()((()(()))))))
0.605548 (()((()()()())(()(()))))
0.634923 ((())(()(()(()())))())
0.636658 ((()()())(()(()())))
0.64587 ((()(()((()())(()(()()()))))))
0.64587 ((()(()(())(()()))))
0.64587 ((()())(()((()())(()(()()())))))
0.64587 ((())(()()()))
0.64587 (()(()((()())())))
0.653466 ((()())(()(()(()()))))
0.655585 (((()(()(()())))))
0.655585 (((()(()))()(()(()))))
0.655585 ((()(()((()())()))))
0.655585 ((()())(((())(()(()(()))))))
0.655585 ((()())((())((()(()(()(()())))))))
0.655585 ((())(()((()())(()(()))))())
0.655585 ((())(()(()((()())(()(()())))))())
0.655585 ((())(()(()()()()())))
0.655585 ((())()(()((()())(()(()())))))
0.655585 (()(((()())(()(())))))
0.655585 (()((()()())(()((()())(()(()))))))
0.655585 (()((()())(((())(()(()))))))
0.655585 (()((())((()(()(()()))))))
0.655585 (()((())()(()((()())(()(()()))))))
0.655585 (()(()((()(()()()())))))
0.655585 (()(()(()))(()(()())))
0.655585 (()(()()()())())
0.655585 (()(()())(()((())(()(())))))
0.655585 (()(())(()((()))))
0.655585 (()(())(()()()()))
0.655585 (()(())()(()(()())))
0.667294 ((()()())(()(()()()())))
0.667294 (()((()())(()(()(()())))))
0.667294 (()(()()()()()()))
0.677954 ((()()())(()(()(()()))))
0.677954 (()(())(()(()(()()()))))
0.681064 (()(()()()()()))
0.68964 ((()())(()(()())))
0.689974 (()(()((()()())(()(()())))))
0.693312 ((()()())(((())(()))))
0.693312 ((()()())(()((())(()(()())))))
0.693312 ((()())(()((()()())(()(())))))
0.693312 (()((()(()((()())(()(())))))))
0.693312 (()((()()()()())(()(()))))
0.693312 (()((())(()(()(()(()(()())))))))
