#### p(f|chinese)/p(f|english)
0.147516 |-LRB-
0.163826 |-RRB-
0.28078 (NNS)(CC)(NNS)|NP
0.286087 (NP)(PRN)|NP
0.32721 (VBG)(S)|VP
0.352269 (DT)(NNS)(CC)(NNS)|NP
0.352269 (NP)(,)(NP)(,)|NP
0.354652 (VBG)(NP)(S)|VP
0.361377 (VBN)(S)|VP
0.368498 (TO)(S)|PP
0.369358 (NN)(CC)(NN)(NNS)|NP
0.379307 |:
0.381837 (JJ)(JJ)(NNS)|NP
0.381837 (JJ)(NN)(NN)|NP
0.387541 (NP)(VP)|NP
0.403511 (DT)(NN)(NN)(NN)|NP
0.407891 (NNP)(NNS)|NP
0.409044 (NP)(,)(NP)(,)(CC)(NP)|NP
0.410708 (VBG)(PP)|VP
0.414003 (VBD)(VP)|VP
0.432267 (CD)(NN)(NN)|NP
0.432267 (PP)(,)(CC)(PP)|PP
0.432267 (VBG)(PRT)|VP
0.43974 (VBN)(PP)(PP)|VP
0.446955 (JJ)(NN)(NNS)|NP
0.457606 (VBN)(NP)(PP)|VP
0.457879 (NP)(.)|FRAG
0.457879 (WHADVP)(SQ)(.)|SBARQ
0.458285 (ADVP)(VBN)|VP
0.458285 (CD)(POS)|NP
0.458285 (DT)(ADJP)(NNS)|NP
0.458285 (DT)(NNP)|NP
0.458285 (VB)(NP)(,)(S)|VP
0.473537 (DT)(JJ)(NN)(NN)|NP
0.474908 (CD)|NP
0.481963 (IN)(S)|PP
0.48696 (PRP$)(JJ)(NNS)|NP
0.487636 (DT)(VBN)(NN)|NP
0.498077 (VBD)(ADJP)|VP
0.506255 (DT)(NN)(NN)|NP
0.506982 (VBG)(SBAR)|VP
0.508696 |VBG
0.513211 (VB)(ADVP)(PP)|VP
0.516978 (S)(VP)(.)|S
0.521004 (DT)(JJ)(CD)(NNS)|NP
0.521004 (-LRB-)(NP)(-RRB-)|PRN
0.521004 (PRP$)(JJ)(JJ)(NN)|NP
0.521004 (VBP)(RB)(ADVP)(VP)|VP
0.521121 (VBG)(PRT)(NP)|VP
0.521217 (NN)(NN)(NNS)|NP
0.523083 (VBG)(NP)|VP
0.531742 (VBG)(ADJP)|VP
0.546401 (DT)(NN)(CC)(NN)|NP
0.546401 (VBG)(NP)|PP
0.546401 (VP)(,)(VP)(CC)(VP)|VP
0.550658 (VBG)(NP)(PP)|VP
0.55426 (PP)(CC)(PP)|PP
0.558039 (S)(VP)|S
0.559274 (IN)(S)(CC)(RB)|SBAR
0.559274 (JJ)(CC)(JJ)(NNS)|NP
0.559274 (-LRB-)(SBAR)(-RRB-)|PRN
0.559274 (NP)(:)(NP)|NP
0.559274 (NP)(,)(VP)(.)|S
0.559274 (PRP)(CC)(PRP)|NP
0.559274 (TO)|VP
0.559274 (VBG)(CC)(VBG)(NP)|VP
0.559274 (VBP)(PP)(PP)|VP
0.560347 (ADVP)(VB)(NP)|VP
0.56812 (ADVP)(,)(NP)(ADVP)(VP)(.)|S
0.56812 (ADVP)(VBG)(NP)|VP
0.56812 (NNP)(NN)|NP
0.574259 (JJ)(JJ)(NN)|NP
0.574259 (VBD)(NP)(PP)|VP
0.575237 (SBAR)(NP)(VP)(.)|S
0.59184 (S)(:)(S)(.)|S
0.603612 (ADVP)(CC)(ADVP)|ADVP
0.603612 (JJ)(JJ)(NN)(NNS)|NP
0.603612 (-LRB-)(FRAG)(-RRB-)|PRN
0.603612 (-LRB-)(PP)(-RRB-)|PRN
0.603612 (NNP)(CD)|NP
0.603612 (NP)(WHPP)|WHNP
0.603612 (PRP$)(VBG)(NNS)|NP
0.603612 (VB)(NP)(PP)(,)(PP)|VP
0.603612 (VBN)(,)(SBAR)|VP
0.603612 (WDT)(NN)|WHNP
0.604505 (RB)(DT)(JJ)(NN)|NP
0.60511 (DT)(VBG)(NN)|NP
0.60511 (IN)(WHNP)|WHPP
0.605548 (RB)(RB)(IN)|CONJP
0.606137 (PP)(NP)(VP)|S
0.607974 (VP)(CC)(VP)|VP
0.622494 (NP)(ADJP)|NP
0.623693 (NP)(PP)(SBAR)|NP
0.631536 (PRP$)(NN)(NNS)|NP
0.634923 (NP)(ADVP)|NP
0.638915 (VBP)(RB)(VP)|VP
0.639464 (NP)(,)(PP)(,)|NP
0.639464 (VB)(NP)(PP)(PP)|VP
0.64587 (ADJP)(,)(CC)(ADJP)|ADJP
0.64587 (ADVP)(PP)|ADVP
0.64587 (DT)(JJS)(NNS)|NP
0.64587 (JJ)(NN)(CC)(NN)|NP
0.64587 (NP)(NNS)|NP
0.64587 (SBAR)(NP)(VP)|S
0.646503 (NP)(CC)(NP)|NP
0.652259 (PRP$)(JJ)(NN)|NP
0.653466 (IN)(NN)(S)|SBAR
0.655585 (ADVP)(JJ)(PP)|ADJP
0.655585 (CD)(JJ)(NNS)|NP
0.655585 (DT)(JJ)(,)(JJ)(NN)|NP
0.655585 (DT)(NN)(JJ)(NN)|NP
0.655585 (DT)(VBN)(NN)(NN)|NP
0.655585 (DT)(VBN)(NNS)|NP
0.655585 (IN)(IN)(NP)|PP
0.655585 (JJ)|ADVP
0.655585 (-LRB-)(ADJP)(-RRB-)|PRN
0.655585 (-LRB-)(S)(-RRB-)|PRN
0.655585 (MD)(PP)(VP)|VP
0.655585 (NN)(,)(NN)(,)(CC)(NN)|NP
0.655585 (NN)(,)(NN)(CC)(NN)|NP
0.655585 (NN)(NNS)(CC)(NNS)|NP
0.655585 (NNPS)|NP
0.655585 (NP)(PP)(PP)|NP
0.655585 (NP)(,)(VP)|NP
0.655585 (RB)(RB)(JJ)|ADJP
0.655585 (RB)(VBN)(NNS)|NP
0.655585 (S)(,)(S)(CC)(S)(.)|S
0.655585 (VB)(CC)(VB)|VP
0.655585 (VBD)(PP)(SBAR)|VP
0.655585 (VBD)(RB)(VP)|VP
0.655585 (VBG)(JJ)(NNS)|NP
0.655585 (VBG)(PP)(ADVP)|VP
0.655585 (VBN)(CC)(VBN)|VP
0.655585 (VBN)(NNS)|NP
0.655585 (VB)(NP)(ADVP)(VP)|VP
0.655585 (VBP)(NP)(,)(ADVP)(PP)|VP
0.655585 (VP)(PRN)|VP
0.656497 (JJ)(CC)(JJ)|ADJP
0.665951 (JJS)(NNS)|NP
0.668555 |CD
0.672272 (MD)(ADVP)(VP)|VP
0.674272 (PRP$)(NNS)|NP
0.675325 (S)(CC)(S)(.)|S
0.677954 (DT)(VBG)(NNS)|NP
0.677954 (VBG)(NP)(SBAR)|VP
0.677954 (VBG)(PRT)(PP)|VP
0.677954 (VBZ)(NP)(NP)|VP
0.681064 (RB)(VP)|S
0.689974 (ADJP)|S
0.693312 (JJ)(PP)|ADVP
0.693312 (RB)(PP)|ADJP
0.693312 (SBAR)(,)(ADVP)(NP)(VP)(.)|S
0.693312 (VB)(ADVP)(SBAR)|VP
0.693312 (VBG)(PP)(PP)|VP
0.693312 (VBG)(PP)(SBAR)|VP
0.693312 (VBN)(NP)(S)|VP
0.693312 (WHPP)(S)|SBAR
0.696358 (JJ)(S)|ADJP
0.702607 (DT)(NN)(NNS)|NP
0.706336 (VBP)(ADVP)(VP)|VP
0.708812 (NP)(,)(NP)(CC)(NP)|NP
0.708812 (RB)(PP)|ADVP
0.708812 (VBD)(S)|VP
0.710904 (DT)(ADJP)(NN)|NP
0.714324 (NN)(NN)|NP
0.715089 (NN)(CC)(NN)|NP
0.717352 (ADJP)(CC)(VP)|UCP
0.717352 (ADVP)(IN)(S)|SBAR
0.717352 (ADVP)(,)(SBAR)(NP)(VP)(.)|S
0.717352 (ADVP)(,)(S)(CC)(RB)(S)(.)|S
0.717352 (ADVP)(VBG)(NP)(PP)|VP
0.717352 (ADVP)(VBN)(SBAR)|VP
0.717352 (ADVP)(VBN)(S)|VP
0.717352 (ADVP)(VB)(S)|VP
0.717352 (CC)(S)(VP)(.)|S
0.717352 (CD)(CD)|QP
0.717352 (CD)(JJ)(NN)|NP
0.717352 (DT)(NN)(NN)(NNS)|NP
0.717352 (DT)(NNS)(NNS)|NP
0.717352 (DT)(NX)|NP
0.717352 (IN)(NN)|ADVP
0.717352 (IN)(RB)|ADVP
0.717352 (JJ)(,)(JJ)(NNS)|NP
0.717352 (JJ)|LST
0.717352 (JJ)(NN)(CC)(JJ)(NN)(NNS)|NP
0.717352 (JJ)(RB)|ADJP
0.717352 (JJ)(RB)(SBAR)|ADJP
0.717352 (LS)(-RRB-)|LST
0.717352 (LST)(NP)(VP)|S
0.717352 (LST)(PP)(,)(NP)(VP)(.)|S
0.717352 (NN)(.)|NP
0.717352 (NN)|NX
0.717352 (NN)(PP)|ADJP
0.717352 (NN)(PP)|VP
0.717352 (NP)(ADJP)(SBAR)|S
0.717352 (NP)(,)(NP)(.)|NP
0.717352 (NP)(,)(NP)(,)(NP)(,)(NP)(CC)(NP)|NP
0.717352 (PP)(,)(S)(CC)(S)(.)|S
0.717352 (PRP$)(JJ)(JJ)(NNS)|NP
0.717352 (PRP$)(JJ)(NN)(CC)(NN)|NP
0.717352 (PRP$)|NP
0.717352 (RBR)(JJ)(CC)(JJ)|ADJP
0.717352 (RBS)(RB)|ADVP
0.717352 (RB)|WHADVP
0.717352 (,)(SBAR)(,)|PRN
0.717352 (S)(:)(S)|S
0.717352 (VBD)(RB)(ADJP)|VP
0.717352 (VBG)(NP)(NP)|VP
0.717352 (VBG)(NP)(PP)(SBAR)|VP
0.717352 (VBN)(PP)(S)|VP
0.717352 (VBP)(ADVP)(PP)(SBAR)|VP
0.717352 (VBP)(NP)(PP)(SBAR)|VP
0.717352 (VBP)(NP)(VP)|SQ
0.717352 (VBZ)(NP)(,)(PP)|VP
0.717352 (VBZ)(S)(,)(SBAR)|VP
0.717352 (WHNP)(PP)|WHNP
0.720437 (VB)(ADJP)|VP
0.721374 |UH
0.721374 (UH)|INTJ
0.721374 (VP)(CC)(RB)(VP)|VP
0.723445 |LS
0.726169 (VBZ)(NP)(SBAR)|VP
0.72957 (NP)(PP)|NP
0.732414 (DT)(JJ)(NNS)|NP
0.738483 (VBN)|VP
0.743063 (DT)(JJS)|NP
0.743063 (RB)(VBN)|ADJP
0.743063 (VBN)(ADVP)|VP
0.743063 (VP)(CC)(ADVP)(VP)|VP
0.748276 (DT)(JJ)(NNS)(NN)|NP
0.748276 |FW
0.748276 (IN)(JJS)|ADVP
0.748276 (JJ)(JJ)|ADJP
0.748276 (JJ)(NNS)(S)|NP
0.748276 (NN)(CC)(NN)(NN)|NP
0.748276 (NNP)(NP)(VP)(.)|SQ
0.748276 (NNS)(CC)(NN)(NNS)|NP
0.748276 (NP)(ADJP)(S)|S
0.748276 (PP)(S)(VP)(.)|S
0.748276 (PP)|VP
0.748276 (RB)(JJ)|NP
0.750058 (VBG)(VP)|VP
0.75054 (ADVP)(VP)|S
0.750719 (VB)(PP)|VP
0.754151 (NNP)(NNP)|NP
0.754151 (VB)(PRT)|VP
0.758784 |VBN
0.760327 (CD)(NNS)|NP
0.760328 (JJ)(IN)(NP)|PP
0.763831 (NP)(VP)(.)|S
0.766042 (RB)(JJR)|ADJP
0.76882 (VBG)|VP
0.770736 (JJ)(NNS)(CC)(NNS)|NP
0.770736 (NN)(CC)(NNS)|NP
0.770736 (VBD)(PP)(PP)|VP
