#### p(f|chinese)/p(f|english)
0.147516 -LRB-
0.163826 -RRB-
0.379307 :
0.508696 VBG
0.521004 LST
0.56812 NX
0.60511 WHPP
0.668555 CD
0.721374 UH
0.723445 LS
0.748276 FW
0.756408 PRN
0.758784 VBN
0.78917 NNS
0.810549 CC
0.837101 POS
0.853321 PRT
0.85838 NNP
0.869607 JJ
0.876779 RP
0.881629 EX
0.889276 ''
0.889276 RRC
0.892978 TO
0.893452 PP
0.907518 VBD
0.915732 WDT
0.922974 NN
0.945331 PRP$
0.948056 IN
0.955112 NNPS
0.958785 DT
0.985303 NP
0.985721 WHADVP
0.995396 VP
1.00746 INTJ
1.01109 ADVP
1.02249 RB
1.02504 WRB
1.04081 SBARQ
1.04703 SQ
1.05557 S
1.06131 VB
1.13171 .
1.14489 ADJP
1.1519 VBZ
1.17928 MD
1.19198 WHNP
1.21123 JJS
1.22268 UCP
1.2255 ``
1.23512 VBP
1.24627 SBAR
1.26106 SINV
1.28407 WHADJP
1.30401 ,
1.35424 NP-TMP
1.38938 QP
1.4716 WP$
1.52575 FRAG
1.53344 WP
1.58675 PRP
1.61382 RBR
1.66345 RBS
1.71899 $
1.77572 CONJP
1.85707 JJR
2.43496 SYM
2.70136 PDT
3.35004 X
