#### p(f|japanese)/p(f|english)
0.2981 :()
0.318083 -RRB-()
0.330642 -LRB-()
0.388189 FRAG((())())
0.430071 PP(()(()()()()))
0.446505 PP(()((()())(()(()()))))
0.44696 NP(()(()()())())
0.46315 NP((()())(()(()(()()))))
0.467917 POS()
0.470835 PP(()((()())(()(()()()))))
0.488319 CONJP(()()())
0.502779 NP((()()())(()(()()())))
0.505464 NP((()())(()(()()())))
0.505986 NP((()()())(()(()()()())))
0.506257 NP(()()()()()())
0.510344 RP()
0.51073 PRT(())
0.515669 NP((()())(()(()()()())))
0.516096 NP((()()())(()(()())))
0.535377 NP((()()())(()(()(()()))))
0.535377 NP((()())()()())
0.537464 NP(()()()()())
0.539589 NP((()())(()(()(()))))
0.54006 WDT()
0.541445 NNPS()
0.555737 S((())(()(()(()(()(()()))))))
0.558363 VBG()
0.559606 VP(()((()()())(()(()()()))))
0.559665 S((()(()(()(()()())))))
0.562954 NP((()()()())(()(()())))
0.565336 NP((()()()())(()(())))
0.566603 NP(()()()())
0.568349 PP(()((()()())()(()())))
0.570238 PP(()(()()()()()()))
0.574702 NP((()()())(((())(()))))
0.574702 PP(()((()()()())(()(()()))))
0.584053 PP(()((()()())(()(()()))))
0.590131 SBAR(()((())(()(()(()(()(()())))))))
0.591407 NP(()(()())())
0.59515 ADJP(()()())
0.606047 WHNP(()())
0.60724 S((()(()((()())(()(()()()))))))
0.608706 PP(()((()()())()))
0.609666 S((()(()()()())))
0.620263 VP(()(()((())(()(()(()(()(()()))))))))
0.621613 NP((()()())(()((()())(()(())))))
0.621613 NP((())(()(()(()))))
0.631306 PP(()(()()()))
0.63561 UH()
0.63561 VP(()((()(()(()(()()()))))))
0.635985 ADJP(()(()(()()()())))
0.636416 NP((()())(()()()))
0.636915 S((()()())(()(()()())))
0.636938 VBN()
0.649062 NP((()()())()(()()))
0.650358 NP((()()())()(()))
0.650358 PP(()(()(()())()))
0.651844 NP((()())(()((())(()))))
0.653567 NP((()())(()((()()())(()(())))))
0.653567 PP(()((()())(()(()(()())))))
0.653567 WHNP((()())(()(())))
0.655585 PP(()((()()())(()(()()()()))))
0.655908 VP(()()())
0.660565 INTJ(())
0.660565 NP(()()()()()()())
0.660565 PP(()((()())(()(()()()()))))
0.664731 PP(()((()())()(()()())))
0.664731 S((()(()(())(()()))))
0.664731 VP(()((()()()())(()(()()))))
0.664847 VP(()(()(()(()()()()))))
0.667273 ADVP(()(()(()()())))
0.668578 NP((()())()())
0.670218 NP((()()())(()((()())(()(()())))))
0.670218 VP(()((()())(()(()()()()))))
0.670218 VP(()(()((()(()(()(()()())))))))
0.670218 VP(()(()(()(()())())))
0.670761 NP(()()((()(()(()())))))
0.673207 VP(()(())(()(()(()()()))))
0.67367 NP(()(()()()())())
0.67367 VP((())()(()((()())(()(()())))))
0.67367 VP(()((())()(()((()())(()(()()))))))
0.67367 VP(()(()((()()())(()(()()()())))))
0.67367 VP(()(()(()(()(()()()())))))
0.675966 VP(()(())(()(()()()())))
0.677843 VP(()(()(()(()()()))))
0.679103 NP((()()()()())(()(())))
0.679103 VP(()(()((()()())(()(()()())))))
0.682676 PP(()((()())()))
0.682701 NP((()()())(()((())(()(()())))))
0.68687 PP(()((()())(()(()(())))))
0.691756 NP((())((())((()(()(()(())))))))
0.691756 PP(()((()()())()(())))
0.691756 PP(()((()())((())((()(()(())))))))
0.693476 VP(()(()(()(()((()())(()(())))))))
0.694649 NP((()())(()(()())))
0.69467 VP(()(()(()(()(()())))))
0.69813 NP((()())(()((()())(()(()()())))))
0.698744 VP(()(()(()((()())(()(()()))))))
0.708147 NP(()()())
0.709146 JJR()
0.709841 NP((()()())()())
0.709841 NP(()(()())()())
0.709841 S(()(()))
0.709841 SBAR(((())(()(()(()()())))))
0.709841 VP((())()(()()()))
0.713558 VP(()(()((()())(()(()()()())))))
0.717352 ADVP((())()(()()))
0.717352 LST(()())
0.717352 NP((()()())(()((()())(()(()()())))))
0.717352 NP(()(()())()(()()))
0.717352 PP(()((()())()()()))
0.717352 PP(()((())((()(()(()()))))))
0.717352 PP(()(()(()())()(()())))
0.717352 S((()((()()())(()(()()())))))
0.717352 VP((())()(()()()()))
0.717352 VP(()((()(()((()())(()(()()())))))))
0.717352 VP(()((()()())(((())(())))))
0.717352 VP(()(()((()()())(()((()())(()(())))))))
0.717352 VP(()(()(()(()((()())(()(()()())))))))
0.717352 VP(()(())(()((()()())(()(()()())))))
0.717352 VP(()(())(()(()(()((()())(()(()())))))))
0.720173 S((()(())(()(()()()))))
0.720173 VP(()(())(()((()()())(()(()())))))
0.720702 RBR()
0.722618 PP(())
0.726793 PP(()(()()()()()))
0.727926 NP((()()())(()(()()()()())))
0.727926 NP((()())(((())(()(()(()))))))
0.727926 NP((()())(()(()(()()()))))
0.727926 S(((()(()))()(()(()))))
0.727926 S((()(()()())(()(()()))))
0.727926 SBAR(()((()())(()(()(()(()))))))
0.727926 VP(()(())(()()()()))
0.728969 JJS()
0.728987 NP((()()())(()))
0.728987 VP(()(()(()((()()())(()(()()))))))
0.729775 SBAR(()((())))
0.729775 VP(()(()(()())()))
0.729775 VP(()(()()((()(()(()()))))))
0.731674 PRP$()
0.73642 ADVP(()(()(())))
0.736594 VP(()((()()()())(()(()))))
