#### p(f|japanese)/p(f|english)
0.428801 (()(()()())())
0.456396 ((()()())(()(()()())))
0.505986 ((()()())(()(()()()())))
0.506257 (()()()()()())
0.512008 (()((()()()())(()(()()))))
0.516285 (()((()()())(()(()()()))))
0.516826 ((()())(()(()()()())))
0.525642 ((()()())(()(()())))
0.527115 (()()()()())
0.535377 ((()())()()())
0.546782 (()((()()())()(()())))
0.555549 ((()())(()(()()())))
0.555737 ((())(()(()(()(()(()()))))))
0.559665 ((()(()(()(()()())))))
0.568349 (()((()()())(()(()()()()))))
0.574702 ((()()())(((())(()))))
0.574702 (()((()()())(((())(())))))
0.575331 (()()()())
0.578183 (()((()())(()(()()()()))))
0.580959 (()((()())(()(()()()))))
0.585497 ((()())()())
0.587471 (()(()(()())()))
0.590131 (()((())(()(()(()(()(()())))))))
0.60724 ((()(()((()())(()(()()()))))))
0.609666 ((()(()()()())))
0.609866 (()(()())())
0.614651 ((()()()())(()(()())))
0.620263 (()((()(()((()())(()(()()())))))))
0.620263 (()(()((())(()(()(()(()(()()))))))))
0.622637 ((()()())()(()()))
0.631627 (()(()()()()))
0.63528 (()((()(()(()(()()()))))))
0.636416 ((())()(()()()()))
0.647922 ((()()())(()(()(()()))))
0.649062 ((()()()()())(()(())))
0.650358 ((()())(()((()())(()(()()())))))
0.650802 ((())()(()))
0.653522 (()((()()()())(()(()))))
0.660321 ((())())
0.660565 (()()()()()()())
0.664731 ((()(()(())(()()))))
0.664731 (()(()((()())(()(()()()())))))
0.664847 (()(()(()(()()()()))))
0.667273 ((()())(()((()()())(()(())))))
0.670218 (()(()((()(()(()(()()())))))))
0.670218 (()(()(()(()())())))
0.670761 (()((()())(()((()(()))))))
0.673207 (()(())(()(()(()()()))))
0.67367 ((())()(()((()())(()(()())))))
0.67367 (()((())((())((()(()(()(()))))))))
0.67367 (()((())()(()((()())(()(()()))))))
0.67367 (()(()((()()())(()(()()()())))))
0.67367 (()(()(()(()(()()()())))))
0.67367 (()(()()()())())
0.679103 ((()()())(()((()())(()(())))))
0.682701 ((()())(()()()))
0.685535 (()(()(()(()()()))))
0.68585 (()((()())()(()()())))
0.689419 (()(())(()(()()()())))
0.691756 ((())((())((()(()(()(())))))))
0.691756 (()(())()(()(()())))
0.693476 (()(()(()(()((()())(()(())))))))
0.695415 ((()())(()((()(())))))
0.696479 ((()()()())(()(())))
0.69813 ((()()())(()((())(()(()())))))
0.698744 (()((()())(()(()(()())))))
0.698744 (()(()(()((()())(()(()()))))))
0.698744 (()(()()()()()()))
0.698744 (()(())())
0.703521 (()((()(()((()())(()(()())))))))
0.703521 (()((()(()())(()(())))))
0.705746 (()()())
0.705916 (()(()(()(()(()())))))
0.707849 (()(()((()()())(()(()()())))))
0.709452 (()((()()())()))
0.709841 (((())(()(()(()()())))))
0.709841 ((()()())()())
0.710663 (()((()()())(()(()()))))
0.713558 ((()()())(()((()())(()(()())))))
0.713558 (()((()()()()())(()(()))))
0.713558 (()((()()())(()(()(()())))))
0.716473 (()(()()()()()))
0.717352 ((()()())(()((()())(()(()()())))))
0.717352 (()((()()())(()((()())(()(()()()))))))
0.717352 (()(()((()()())(()((()())(()(())))))))
0.717352 (()(()(()(()((()())(()(()()())))))))
0.717352 (()(()(()()()())()))
0.717352 (()(()(()())()(()())))
0.717352 (()(()())()(()()))
0.717352 (()(())(()((()()())(()(()()())))))
0.717352 (()(())(()(()(()((()())(()(()())))))))
0.720161 (()()(()()()))
0.720173 ((()(())(()(()()()))))
0.720173 ((()())(()((()(()(()()))))))
0.722222 ((())(()()()))
0.723671 ((()())(()(()(()()))))
0.725983 ((()()())(()))
0.727926 (((()(()))()(()(()))))
0.727926 ((()(()()())(()(()()))))
0.727926 ((()()())(()(()()()()())))
0.727926 ((()())(((())(()(()(()))))))
0.727926 (()((()()())()(())))
0.727926 (()(()())()())
0.727926 (()(())(()()()()))
0.728987 (()(()(()((()()())(()(()()))))))
0.73642 (()((()(()()()()))))
0.736594 (()(()()())(()(()()())))
0.736824 ((()())(()(()(()()()()))))
0.736824 (()(()()()())(()(()())))
0.736824 (()(())(()((()()())(()(()())))))
0.737141 (((())()(()()))())
0.737141 ((()((()()())(()(()()())))))
0.737141 ((()(())((()(()(()))))))
0.737141 ((())((()()())(()(()()))))
0.737141 ((())(()(()(()((()()())(()(())))))))
0.737141 (()((()(())((()(()(())))))))
0.737141 (()((()())()()()))
0.737141 (()(()((())()(()((()())(()(()())))))))
0.737141 (()(()(()(()(()())()))))
0.737141 (()(()()())(()((()())(()(()())))))
0.737141 (()(()())(()((()()())(()(())))))
0.737141 (()(())(()(()()()()())))
0.737141 (()()((()(()(())(()())))))
0.740489 ((()())(()(()(()))))
0.746012 ((()())((())((()(()(()(()())))))))
0.746012 (()((()())(()(()(()(()))))))
0.746012 (()(()((()(()()()())))))
0.746012 (()(()(()()())()))
0.746012 (()(()()((()(()(())(()(()())))))))
0.746012 (()(()()()())(()(())))
0.749062 (()(()()((()(()(()()))))))
0.749383 ((())((()(()(())))))
0.750967 ((()()())()(()))
0.753476 ((()(()((()(()(())))))))
0.753476 ((()(()(()(()()()())))))
0.754234 (()((()())(()(()(())))))
0.75655 (()()((()(()(()())))))
0.75693 ((()(()((())((())(()))))))
0.75693 ((()()())()((()())(()(()))))
0.75693 ((())(())(()(()(()))))
0.75693 ((())(())())
0.75693 ((())()(())()(()))
0.75693 (()((()()())()()))
0.75693 (()((()())(()((()()())()(()())))))
0.75693 (()((()())(()()(()()()))))
0.75693 (()(()(()((()(()()()))))))
0.759699 (()((()())(()(()()))))
0.759843 ((()(()())(()(()()))))
0.764001 ((()())(()(()())))
0.764097 (()(()((())((())(())))))
0.770127 ((())(()((())()(()()))))
0.770127 (()()((()(()(())(()(()()))))))
0.773282 (()(()((()())(()(()())))))
0.774347 ((())((()(()(()(()))))))
0.775272 ((()(()())(()(()))))
0.776719 ((()((()())(()(()()())))))
0.776719 ((()(()())())(()(()()())))
0.776719 ((()())((())((()((())(()(())))))))
0.776719 ((()())(()((()()())()(()()))))
0.776719 ((()())()(()()()()))
0.776719 (()((()()()())()(()())))
0.776719 (()((()()())((())((()(()))))))
0.776719 (()((()()())(()(()()()()()))))
0.776719 (()(()((())((()(()))))))
0.776719 (()(()((())(()()))))
0.776719 (()(()(()(()))(()(()))))
0.776719 (()(())((()(()(()(()()))))))
0.776719 (()(())(()(()(()(()())))))
0.777039 ((())()(()()))
0.778084 ((())()(()()()))
0.778084 (()(()(()(()(()()())))))
0.782182 (()((()()())(()((()())(()(()))))))
0.782182 (()((()())((())((()(()(())))))))
0.782182 (()(())((()())(()(()()))))
0.782522 ((()())()(()))
0.786779 ((())(()(()(()())(()(()())))))
0.786779 (()(()((()()())())))
0.786779 (()(()()()()()()()))
0.786779 (()(())(())(()(())))
0.790008 (()(()(())(()())))
0.791968 (((()())(()(())))()((())(()(()))))
0.791968 (((()())()()())(()(())))
0.791968 (((())(())(()(()(()()))))()(())(()(()(()(()()()()))))())
0.791968 (((())()(()))(()(())))
0.791968 ((()((()()())(()(()(()()))))))
0.791968 ((()(()((()()())(()((()())(()(()))))))))
0.791968 ((()(()((()())(()((()(()))))))))
0.791968 ((()(()((()())(()(()()())))(()(())))))
0.791968 ((()(()((())(()(()(()(()))))))))
0.791968 ((()(()(()((()(())(())))))))
0.791968 ((()(()(()(()(()()()()))))))
0.791968 ((()(()(()()())))()(())(()(()(()())))())
0.791968 ((()(()(()()())))()(())(()(()()))())
0.791968 ((()(()()((()(()(())(()())))))))
0.791968 ((()(()()(()(())))))
0.791968 ((()(()()())(()((())))))
0.791968 ((()(()()())(()(()()()()))))
0.791968 ((()(()())()())(()(())))
0.791968 ((()(())(()(()(()()())))))
0.791968 ((()()()()())(()(()())))
0.791968 ((()()())(()((()())()())))
0.791968 ((()()())(()(())()(()(()()))))
0.791968 ((()()())()(()(()))())
0.791968 ((()())(((())(()(()((()(()))))))))
0.791968 ((()())(((())(())(()))))
0.791968 ((()())(()((()()()())(()(()())))))
0.791968 ((()())(()((())((()(()(()())))))))
0.791968 ((()())(()(()()()))())
0.791968 ((()())(()(())(()(()()()()))))
0.791968 ((()())()(()()()())())
0.791968 ((())((()(()((()(()()()())))))))
0.791968 ((())((()(()((()())())))))
0.791968 ((())((()()())(()(()()()))))
0.791968 ((())((()())(()(()(()(()()))))))
0.791968 ((())((()())(()(()()()()))))
0.791968 ((())((())((()(()((()(()(())))))))))
0.791968 ((())((())((()()(()(()(())))))))
0.791968 ((())((())(()(()())(()))))
0.791968 ((())(()(((())(()(()(()(()())))((()(()(()()))))))))())
0.791968 ((())(()((()()())(()(()()()()())))))
0.791968 ((())(()((()())(()((()())(()(()())))))))
0.791968 ((())(()((())()(())()()(()()))))
0.791968 ((())(()(()((())(()(()(()(()((()())(()(()))))))))))())
0.791968 ((())(()(()((())(()(()(()(()(()()))))))))())
0.791968 ((())(()(())(()(()(()((()())(()(()()))))))))
0.791968 ((())(()()((()(())))))
0.791968 ((())(()()())((()(()(()(()()()))))))
0.791968 ((())()(()(()(()()))))
0.791968 ((())()(()(()()()))())
0.791968 ((())()()(()())())
0.791968 (()((()((()()()())(()(()()))))))
0.791968 (()((()((()()())(()(()()()))))))
0.791968 (()((()((()())(()(()()()))))))
0.791968 (()((()(()((())(()(()(()(())))))))))
0.791968 (()((()(()(()(()))(()(()))))))
0.791968 (()((()(()(())(()((())(()(()()))))))))
0.791968 (()((()(()()((()(()(())(()()))))))))
0.791968 (()((()(()()()())(()(())))))
0.791968 (()((()(()())()())(()(()))))
0.791968 (()((()(())(()(()())))()(()(()()))))
0.791968 (()((()(())(()()()))))
0.791968 (()((()())(((())(()(()((()(())))))))))
0.791968 (()((()())(()((()()()())(()(()()))))))
0.791968 (()((()())(()((()())()(())))))
0.791968 (()((()())(()(()((()())(()(()()())))))))
0.791968 (()((())((()()())(()(())))))
0.791968 (()((())((())((()()(()(()(()))))))))
0.791968 (()((())(()((())()(())()()(()())))))
0.791968 (()((())(()(()(()(()((()())(()(()())))))))))
0.791968 (()((())(()(())(()(()(()((()())(()(()())))))))))
0.791968 (()((())(()()())((()(()(()(()()())))))))
