#### p(f|japanese)/p(f|english)
0.2981 :
0.318083 -RRB-
0.330642 -LRB-
0.458028 PRN
0.467917 POS
0.508834 PRT
0.510344 RP
0.54006 WDT
0.541445 NNPS
0.558363 VBG
0.585954 SQ
0.626423 SBARQ
0.63561 UH
0.636938 VBN
0.68585 INTJ
0.694611 SINV
0.709146 JJR
0.720702 RBR
0.728969 JJS
0.731674 PRP$
0.733688 FRAG
0.774047 DT
0.781419 WHPP
0.78368 TO
0.799324 JJ
0.799632 NX
0.80343 WP$
0.807359 NNS
0.836087 RRC
0.861149 PP
0.887594 CC
0.913189 CD
0.913959 ADVP
0.923077 RB
0.923439 LST
0.944313 WHNP
0.954363 NNP
0.988321 IN
0.992278 VB
1.00254 NN
1.00752 NP
1.00849 VP
1.0199 FW
1.02257 ADJP
1.03064 MD
1.05517 NAC
1.06621 UCP
1.07187 VBZ
1.12677 S
1.13524 RBS
1.19904 SBAR
1.20312 EX
1.21655 VBD
1.24729 ,
1.26459 WHADVP
1.28322 WRB
1.33971 .
1.35257 CONJP
1.379 WHADJP
1.42412 NP-TMP
1.44613 WP
1.51488 QP
1.58194 VBP
1.77626 PRP
1.83993 PDT
2.24081 SYM
2.28364 ``
2.38376 X
3.25293 LS
4.18047 ''
